Which are your favorite µ's songs from Love Live! School Idol Project season 1?,Which are your favorite µ's songs from Love Live! School Idol Project Season 2?,Which are your favorite µ's songs from Love Live! The School Idol Movie?,Which are your favorite non-insert µ's songs?,Which are your favorite BiBi songs?,Which are your favorite lily white songs?,Which are your favorite Printemps songs?,Which are your favorite Love Live! small group songs?,Which are your favorite Love Live! solo songs?,Which is your favorite A-RISE song?,"Out of every song from Love Live!, which is your favorite?",Which is your favorite Love Live! MV?,Which µ's member is your favorite singer?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 1?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 2?,Which are your favorite Aqours songs from Love Live! The School Idol Movie: Over The Rainbow?,Which are your favorite non-insert Aqours songs?,Which are your favorite Guilty Kiss songs?,Which are your favorite AZALEA songs?,Which are your favorite CYaRon! songs?,Which are your favorite Love Live! Sunshine!! duets/trios?,Which are your favorite Love Live! Sunshine!! solo songs?,Which is your favorite Saint Snow song?,"Out of every song from Love Live! Sunshine!!, which is your favorite?",Which is your favorite Love Live! Sunshine!! MV?,Which Aqours member is your favorite singer?,Which is your favorite PERFECT Dream Project song?,Which PERFECT Dream Project member is your favorite singer?
"Aishiteru Banzai!, START:DASH!!","Snow halation, Yume no Tobira","Angelic Angel, ??HEARTBEAT","Arashi no Naka no Koi dakara, ENDLESS PARADE, Kaguya no Shiro de Odoritai, Mermaid festa vol.1, MOMENT RING","PSYCHIC FIRE, Saitei de Saikou no Paradiso, Silent tonight","Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden, Shunjou Romantic","Nightingale Love Song, NO EXIT ORION, Puwa Puwa-O!","Garasu no Hanazono, Soldier game, Suki desu ga Suki desu ka?","Arifureta Kanashimi no Hate, Daring!!, Mahoutsukai Hajimemashita!, Nawatobi, Niko puri?Joshi dou, Watashitachi wa Mirai no Hana",Shocking Party,Saitei de Saikou no Paradiso,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, SUNNY DAY SONG, Yume no Tobira, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),"Mijuku DREAMER, MIRAI TICKET","Mirai no Bokura wa Shitteru yo, MY Mai?TONIGHT","Hop? Stop? Nonstop!, Tousou Meisou Mobius Loop","Daydream Warrior, Jump up HIGH!!, Landing action Yeah!!, Thank you, FRIENDS!!, Thrilling?One Way","Guilty!? Farewell party, Kowareyasuki","GALAXY HidE and SeeK, INNOCENT BIRD","Kaigandoori de Matteru yo, Kinmirai Happy End","G Senjou no Cinderella, Yosoku Fukanou Driving!","New winding road, WHITE FIRST LOVE",CRASH MIND,New winding road,"HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, Koi ni Naritai AQUARIUM, MY Mai?TONIGHT, SELF CONTROL!!, Tousou Meisou Mobius Loop",Mari Ohara (VA Suzuki Aina),"CHASE!, Meccha Going!!, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
"Bokura wa Ima no Naka de, No brand girls","Snow halation, Sore wa Bokutachi no Kiseki","Angelic Angel, SUNNY DAY SONG","Arashi no Naka no Koi dakara, Kaguya no Shiro de Odoritai, LONELIEST BABY, LOVELESS WORLD, Ruteshi Kisuki Shiteru, Wonderful Rush","PSYCHIC FIRE, Saitei de Saikou no Paradiso, Trouble Busters","Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden, Shunjou Romantic","Love marginal, NO EXIT ORION, UNBALANCED LOVE","After school NAVIGATORS, Storm in Lover, Suki desu ga Suki desu ka?","Arifureta Kanashimi no Hate, Mou Hitori Ja Nai yo, Someday of my life, Yume Naki Yume wa Yume ja nai, Yume?ONCE AGAIN, Yuuki no Reason",Private Wars,Angelic Angel,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Mogyutto ""love"" de Sekkin Chuu!, No brand girls, Snow halation, SUNNY DAY SONG",Honoka Kousaka (VA Emi Nitta),"Omoi yo Hitotsu ni Nare, Yume de Yozora o Terashitai","MIRACLE WAVE, Yuuki wa doko ni? Kimi no Mune ni!","Bokura no Hashittekita Michi wa…, Kiseki Hikaru","""MY LIST"" to you!, SKY JOURNEY, Sunshine Pikkapika Ondo, Thank you, FRIENDS!!, Thrilling?One Way","Kowareyasuki, Shadow gate to love","GALAXY HidE and SeeK, Sotsugyou desu ne","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Hajimari Road, Manatsu wa Dare no Mono?","In this unstable world, One More Sunshine Story",CRASH MIND,Kiseki Hikaru,"Awaken the power, MIRACLE WAVE, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD, WONDERFUL STORIES, Yume de Yozora o Terashitai",Yoshiko Tsushima (Va Kobayashi Aika),"Evergreen, Meccha Going!!, Yume e no Ippo",Ayumu Uehara (VA Aguri Onishi)
"START:DASH!!, Susume?Tomorrow","Snow halation, Yume no Tobira",??HEARTBEAT,HEART to HEART!,Love Novels,,,,Niko puri?Joshi dou,Private Wars,Love Novels,"Private Wars, Snow halation, START:DASH!!, Susume?Tomorrow, Yume no Tobira",Eli Ayase (VA Yoshino Nanjo),Aozora Jumping Heart,"Kimi no Kokoro wa Kagayaiteru kai?, MY Mai?TONIGHT",Hop? Stop? Nonstop!,"Aqours?HEROES, Koi ni Naritai AQUARIUM","Kowareyasuki, Shadow gate to love","LONELY TUNING, Torikoriko PLEASE!!",Genki Zenkai DAY! DAY! DAY!,Waku-Waku-Week!,In this unstable world,Believe again,Shadow gate to love,"Kimi no Kokoro wa Kagayaiteru kai?, Koi ni Naritai AQUARIUM, MY Mai?TONIGHT",Hanamaru Kunikida (Va Takatsuki Kanako),"CHASE!, Starlight",Ai Miyashita (VA Natsumi Murakami)
"No brand girls, START:DASH!!","Snow halation, Yume no Tobira","Hello, Hoshi o Kazoete, ??HEARTBEAT","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, Natsuiro Egao de 1,2,Jump!, WILD STARS","Diamond Princess no Yuuutsu, Natsu, Owaranai de., PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Love marginal, Pure girls project, UNBALANCED LOVE","After school NAVIGATORS, Mermaid festa vol.2 ~Passionate~, Soldier game","Arifureta Kanashimi no Hate, Daring!!, Kodoku na Heaven",Shocking Party,Datte Datte Aa Mujou,"Hello, Hoshi o Kazoete, Love wing bell, No brand girls, Snow halation, START:DASH!!, Wonderful Rush",Rin Hoshizora (VA Riho Iida),"Mijuku DREAMER, MIRAI TICKET","Awaken the power, MY Mai?TONIGHT",Tousou Meisou Mobius Loop,"Koi ni Naritai AQUARIUM, Mattete Ai no Uta, Sunshine Pikkapika Ondo, Thrilling?One Way","Kowareyasuki, Strawberry Trapper",Torikoriko PLEASE!!,"Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Waku-Waku-Week!, Yosoku Fukanou Driving!","In this unstable world, Oyasuminasan!",Believe again,Thrilling?One Way,"MIRAI TICKET, MY Mai?TONIGHT, SELF CONTROL!!",Yoshiko Tsushima (Va Kobayashi Aika),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
"START:DASH!!, Susume?Tomorrow","Dancing stars on me!, Snow halation","Angelic Angel, Hello, Hoshi o Kazoete","Arashi no Naka no Koi dakara, ENDLESS PARADE, Kaguya no Shiro de Odoritai, Paradise Live, Shangri-La Shower, Soshite Saigo no Page ni wa","Cutie Panther, Love Novels, PSYCHIC FIRE","Aki no Anata no Sora Tooku, Shiranai Love*Oshiete Love, Shunjou Romantic","NO EXIT ORION, Puwa Puwa-O!, UNBALANCED LOVE","Beat in Angel, Storm in Lover, Zurui yo Magnetic today","Daring!!, Himitsu to Hanazono, Someday of my life, Watashitachi wa Mirai no Hana",Shocking Party,Cutie Panther,"Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Snow halation, Wonderful Rush, ??HEARTBEAT",Honoka Kousaka (VA Emi Nitta),"Omoi yo Hitotsu ni Nare, Yume Kataru yori Yume Utaou","Awaken the power, MY Mai?TONIGHT","Bokura no Hashittekita Michi wa…, Brightest Melody","Daydream Warrior, Jump up HIGH!!, Step! ZERO to ONE, Sunshine Pikkapika Ondo, Thank you, FRIENDS!!","Guilty Eyes Fever, Guilty!? Farewell party","GALAXY HidE and SeeK, Sotsugyou desu ne","Kinmirai Happy End, Sakura Bye Bye","Hajimari Road, Natsu no Owari no Amaoto ga","New winding road, Oyasuminasan!",Believe again,Natsu no Owari no Amaoto ga,"Awaken the power, MY Mai?TONIGHT",Riko Sakurauchi (VA Aida Rikako),Starlight,Setsuna Yuki (VA Tomori Kusunoki)
"START:DASH!!, Wonder zone","Oh,Love&Peace!, Snow halation","Bokutachi wa Hitotsu no Hikari, Future style","Datte Datte Aa Mujou, LOVELESS WORLD",Cutie Panther,"Binetsu Kara Mystery, Shiranai Love*Oshiete Love, Shunjou Romantic",NO EXIT ORION,"After school NAVIGATORS, Garasu no Hanazono, Kokuhaku Biyori, desu!","Junai Lens, Kodoku na Heaven, Koi no Signal Rin rin rin!, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",,Watashitachi wa Mirai no Hana,"Angelic Angel, Future style, Snow halation, START:DASH!!, Susume?Tomorrow, Wonder zone",Umi Sonoda (VA Suzuko Mimori),"MIRAI TICKET, Omoi yo Hitotsu ni Nare","Awaken the power, MY Mai?TONIGHT","Bokura no Hashittekita Michi wa…, Kiseki Hikaru","HAPPY PARTY TRAIN, Humming Friend, Landing action Yeah!!, SKY JOURNEY, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","INNOCENT BIRD, Tokimeki Bunruigaku","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Hajimari Road, Waku-Waku-Week!","Oyasuminasan!, WHITE FIRST LOVE",DROPOUT!?,Omoi yo Hitotsu ni Nare,"Awaken the power, HAPPY PARTY TRAIN, Mijuku DREAMER, MIRAI TICKET, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare",Hanamaru Kunikida (Va Takatsuki Kanako),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, START:DASH!!",Snow halation,"Angelic Angel, Future style","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, Shangri-La Shower","PSYCHIC FIRE, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Otohime Heart de Love Kyuuden","Love marginal, Sweet&sweet holiday","Mermaid festa vol.2 ~Passionate~, Soldier game, Storm in Lover","Daring!!, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,Angelic Angel,Angelic Angel,Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Yume Kataru yori Yume Utaou","MIRACLE WAVE, MY Mai?TONIGHT","Over The Next Rainbow, Tousou Meisou Mobius Loop","""MY LIST"" to you!, Daydream Warrior, Jump up HIGH!!, Landing action Yeah!!, Thrilling?One Way","Guilty!? Farewell party, Shadow gate to love",,"Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Natsu no Owari no Amaoto ga, Yosoku Fukanou Driving!","New winding road, One More Sunshine Story",Believe again,MY Mai?TONIGHT,"Believe again, MY Mai?TONIGHT, WATER BLUE NEW WORLD",Mari Ohara (VA Suzuki Aina),"CHASE!, Meccha Going!!",Setsuna Yuki (VA Tomori Kusunoki)
Aishiteru Banzai!,"Oh,Love&Peace!, Snow halation","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","HEART to HEART!, Music S.T.A.R.T!!","Love Novels, PSYCHIC FIRE, Sakkaku CROSSROADS",A-NO-NE-GA-N-BA-RE!,"Love marginal, NO EXIT ORION","Soldier game, Storm in Lover, Zurui yo Magnetic today","Daring!!, Niko puri?Joshi dou, Spicaterrible, Watashitachi wa Mirai no Hana",Shocking Party,Snow halation,"Natsuiro Egao de 1,2,Jump!, Snow halation",Maki Nishikino (VA Pile),Aozora Jumping Heart,Awaken the power,,HAPPY PARTY TRAIN,"Guilty Night, Guilty Kiss!",Torikoriko PLEASE!!,Kinmirai Happy End,"G Senjou no Cinderella, Waku-Waku-Week!",RED GEM WINK,Believe again,HAPPY PARTY TRAIN,"Awaken the power, Believe again, HAPPY PARTY TRAIN",Ruby Kurosawa (VA Furihata Ai),,
"Bokura no LIVE Kimi to no LIFE, Korekara no Someday","Dancing stars on me!, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, Future style","Dreamin' Go! Go!!, ENDLESS PARADE, Ruteshi Kisuki Shiteru, SENTIMENTAL StepS, Shangri-La Shower, WILD STARS","Fuyu ga Kureta Yokan, Sakkaku CROSSROADS, Silent tonight","A-NO-NE-GA-N-BA-RE!, Onaji Hoshi ga Mitai, Shunjou Romantic","CheerDay CheerGirl!, Eien Friends, Puwa Puwa-O!","After school NAVIGATORS, Soldier game, Suki desu ga Suki desu ka?","Arifureta Kanashimi no Hate, Blueberry?Train, Daring!!",Shocking Party,Soshite Saigo no Page ni wa,"Happy maker!, Private Wars, Shocking Party",Rin Hoshizora (VA Riho Iida),"Mijuku DREAMER, Yume de Yozora o Terashitai","Awaken the power, WATER BLUE NEW WORLD","Bokura no Hashittekita Michi wa…, Next SPARKLING!!","""MY LIST"" to you!, Hop?Step?Waai!, Kimi no Hitomi o Meguru Bouken, SKY JOURNEY, Todokanai Hoshi da to Shitemo",Strawberry Trapper,"Sotsugyou desu ne, Tokimeki Bunruigaku","Kinmirai Happy End, Sakura Bye Bye","Hajimari Road, Manatsu wa Dare no Mono?","Beginner's Sailing, RED GEM WINK",Believe again,Next SPARKLING!!,"Awaken the power, Believe again, Bokura no Hashittekita Michi wa…, Hop? Stop? Nonstop!, Next SPARKLING!!, Tousou Meisou Mobius Loop",You Watanabe (VA Saitou Shuka),Doki Pipo ? Emotion,Karin Asaka (VA Miyu Kubota)
"Korekara no Someday, Susume?Tomorrow","KiRa-KiRa Sensation!, Oh,Love&Peace!","Angelic Angel, ??HEARTBEAT","Baby maybe Koi no Button, Mi wa µ'sic no Mi, Natsuiro Egao de 1,2,Jump!, Soshite Saigo no Page ni wa, Super LOVE=Super LIVE!, Takaramonozu","Cutie Panther, PSYCHIC FIRE, Trouble Busters","Binetsu Kara Mystery, Kimi no Kuse ni!, Shunjou Romantic","Eien Friends, MUSEUM de Dou Shitai?, UNBALANCED LOVE","Kokuhaku Biyori, desu!, Listen to my heart!!, Soldier game","Daring!!, Koi no Signal Rin rin rin!, Mahoutsukai Hajimemashita!, Niko puri?Joshi dou, Yume Naki Yume wa Yume ja nai, Yuuki no Reason",Private Wars,Mahoutsukai Hajimemashita!,"Snow halation, START:DASH!!, Susume?Tomorrow",Rin Hoshizora (VA Riho Iida),"Aozora Jumping Heart, Kimeta yo Hand in Hand","Awaken the power, MIRACLE WAVE",,"HAPPY PARTY TRAIN, Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, Landing action Yeah!!, Pops heart de Odorun damon!","Guilty Night, Guilty Kiss!, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Kinmirai Happy End","G Senjou no Cinderella, Hajimari Road","Beginner's Sailing, In this unstable world",DROPOUT!?,Awaken the power,Koi ni Naritai AQUARIUM,You Watanabe (VA Saitou Shuka),,
"No brand girls, Susume?Tomorrow","Snow halation, Sore wa Bokutachi no Kiseki","Bokutachi wa Hitotsu no Hikari, ??HEARTBEAT","Kaguya no Shiro de Odoritai, Music S.T.A.R.T!!, Mermaid festa vol.1, MOMENT RING, Super LOVE=Super LIVE!, Wonderful Rush","Cutie Panther, PSYCHIC FIRE",,,"After school NAVIGATORS, Beat in Angel, Zurui yo Magnetic today","Daring!!, Nawatobi, Niko puri?Joshi dou",Shocking Party,PSYCHIC FIRE,"Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, No brand girls, Shocking Party, SUNNY DAY SONG, ??HEARTBEAT",Eli Ayase (VA Yoshino Nanjo),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","Awaken the power, MY Mai?TONIGHT",,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Sunshine Pikkapika Ondo, Thrilling?One Way","Guilty Eyes Fever, Kowareyasuki",,Genki Zenkai DAY! DAY! DAY!,,In this unstable world,Believe again,Believe again,"Awaken the power, Mijuku DREAMER, MIRACLE WAVE, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare, SELF CONTROL!!",Yoshiko Tsushima (Va Kobayashi Aika),Doki Pipo ? Emotion,Rina Tennoji (VA Chiemi Tanaka)
"Bokura wa Ima no Naka de, START:DASH!!","Snow halation, Yume no Tobira","Angelic Angel, Bokutachi wa Hitotsu no Hikari",,PSYCHIC FIRE,,NO EXIT ORION,,,,Snow halation,Angelic Angel,Honoka Kousaka (VA Emi Nitta),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","WATER BLUE NEW WORLD, WONDERFUL STORIES","Hop? Stop? Nonstop!, Over The Next Rainbow","Koi ni Naritai AQUARIUM, Thank you, FRIENDS!!","Kowareyasuki, Strawberry Trapper",GALAXY HidE and SeeK,Kinmirai Happy End,Hajimari Road,"Beginner's Sailing, Pianoforte Monologue",,"Thank you, FRIENDS!!",WATER BLUE NEW WORLD,Hanamaru Kunikida (Va Takatsuki Kanako),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
"START:DASH!!, Wonder zone","Snow halation, Sore wa Bokutachi no Kiseki","Angelic Angel, Hello, Hoshi o Kazoete","HEART to HEART!, Kaguya no Shiro de Odoritai, Sayounara e Sayonara!, Super LOVE=Super LIVE!, WILD STARS, Wonderful Rush","Cutie Panther, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Kimi no Kuse ni!, Shiranai Love*Oshiete Love","CheerDay CheerGirl!, Love marginal, Sweet&sweet holiday","After school NAVIGATORS, Beat in Angel, Storm in Lover","Daring!!, Koi no Signal Rin rin rin!, Kururin MIRACLE, Moshimo Kara Kitto, Yuuki no Reason",Private Wars,Daring!!,Wonderful Rush,Maki Nishikino (VA Pile),"Mijuku DREAMER, MIRAI TICKET","MY Mai?TONIGHT, WONDERFUL STORIES","Hop? Stop? Nonstop!, Next SPARKLING!!","Aqours?HEROES, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, SKY JOURNEY, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Genki Zenkai DAY! DAY! DAY!, Kaigandoori de Matteru yo","Jimo Ai ? Mantan ? Summer Life, Natsu no Owari no Amaoto ga","Beginner's Sailing, Pianoforte Monologue",Believe again,WONDERFUL STORIES,"Aozora Jumping Heart, Awaken the power, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, MY Mai?TONIGHT, WONDERFUL STORIES",You Watanabe (VA Saitou Shuka),"CHASE!, Diamond, Meccha Going!!",Karin Asaka (VA Miyu Kubota)
"No brand girls, START:DASH!!","Oh,Love&Peace!, Snow halation","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, Korekara, MOMENT RING, Natsuiro Egao de 1,2,Jump!, Wonderful Rush","Cutie Panther, PSYCHIC FIRE","Futari Happiness, Otohime Heart de Love Kyuuden, Shunjou Romantic","Eien Friends, Nightingale Love Song, NO EXIT ORION","Kokuhaku Biyori, desu!, Mermaid festa vol.2 ~Passionate~, Suki desu ga Suki desu ka?","Blueberry?Train, Junai Lens, Kodoku na Heaven, Nawatobi, Someday of my life, Spicaterrible",,MOMENT RING,,Kotori Minami (VA Aya Uchida),"Aozora Jumping Heart, Mijuku DREAMER","Mirai no Bokura wa Shitteru yo, MY Mai?TONIGHT","Kiseki Hikaru, Over The Next Rainbow","""MY LIST"" to you!, Jump up HIGH!!, Taiyou o Oikakero!, Thank you, FRIENDS!!, Thrilling?One Way","Guilty Eyes Fever, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","Hajimari Road, Marine Border Parasol","Beginner's Sailing, New winding road",Believe again,Yozora wa Nandemo Shitteru no?,,Hanamaru Kunikida (Va Takatsuki Kanako),,
START:DASH!!,Snow halation,SUNNY DAY SONG,Music S.T.A.R.T!!,"Cutie Panther, PSYCHIC FIRE",,,,,Private Wars,,,,"Aozora Jumping Heart, MIRAI TICKET","Awaken the power, WATER BLUE NEW WORLD","Bokura no Hashittekita Michi wa…, Hop? Stop? Nonstop!","Aqours?HEROES, Daydream Warrior, Koi ni Naritai AQUARIUM, SKY JOURNEY, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, P.S. no Mukougawa","Hajimari Road, Natsu e no Tobira Never end ver.","Beginner's Sailing, In this unstable world",Believe again,Aozora Jumping Heart,"Aozora Jumping Heart, Awaken the power, Believe again, Koi ni Naritai AQUARIUM, SELF CONTROL!!, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),,
"START:DASH!!, Wonder zone","Snow halation, Yume no Tobira",Angelic Angel,"ENDLESS PARADE, HEART to HEART!, Kaguya no Shiro de Odoritai, Music S.T.A.R.T!!, Mermaid festa vol.1, Natsuiro Egao de 1,2,Jump!","Cutie Panther, Love Novels, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Otohime Heart de Love Kyuuden, Shunjou Romantic","NO EXIT ORION, Puwa Puwa-O!, Sweet&sweet holiday","Beat in Angel, Mermaid festa vol.2 ~Passionate~, Soldier game","Blueberry?Train, Daring!!, Junai Lens, Kururin MIRACLE, Someday of my life, Spicaterrible",Private Wars,Shunjou Romantic,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Dancing stars on me!, Snow halation, Wonder zone, Yume no Tobira",Eli Ayase (VA Yoshino Nanjo),"Omoi yo Hitotsu ni Nare, Yume de Yozora o Terashitai","Awaken the power, WATER BLUE NEW WORLD","Hop? Stop? Nonstop!, Kiseki Hikaru","""MY LIST"" to you!, Daydream Warrior, Humming Friend, Koi ni Naritai AQUARIUM, Seinaru Hi no Inori","Shadow gate to love, Strawberry Trapper","GALAXY HidE and SeeK, LONELY TUNING","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","Jimo Ai ? Mantan ? Summer Life, Waku-Waku-Week!","In this unstable world, WHITE FIRST LOVE",Believe again,Kinmirai Happy End,"Awaken the power, Hop? Stop? Nonstop!, Mijuku DREAMER, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD, Yume Kataru yori Yume Utaou",Yoshiko Tsushima (Va Kobayashi Aika),"Doki Pipo ? Emotion, Evergreen, Nemureru Mori ni Ikitai na",Setsuna Yuki (VA Tomori Kusunoki)
"Bokura wa Ima no Naka de, No brand girls","Snow halation, Sore wa Bokutachi no Kiseki","Hello, Hoshi o Kazoete, ??HEARTBEAT","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, WILD STARS",PSYCHIC FIRE,"A-NO-NE-GA-N-BA-RE!, Shiranai Love*Oshiete Love, Shunjou Romantic","CheerDay CheerGirl!, NO EXIT ORION, UNBALANCED LOVE","After school NAVIGATORS, Anemone heart, Beat in Angel","Arifureta Kanashimi no Hate, Blueberry?Train, Kodoku na Heaven, Kururin MIRACLE, Spicaterrible, Yuuki no Reason",Shocking Party,Datte Datte Aa Mujou,"Angelic Angel, Hello, Hoshi o Kazoete, Shocking Party, Snow halation, ??HEARTBEAT",Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Hop? Stop? Nonstop!, Over The Next Rainbow","""MY LIST"" to you!, Jump up HIGH!!, SKY JOURNEY, Thank you, FRIENDS!!, Thrilling?One Way",Kowareyasuki,"LONELY TUNING, Sotsugyou desu ne","Kinmirai Happy End, Sakura Bye Bye",Hajimari Road,"Beginner's Sailing, In this unstable world",Believe again,Jump up HIGH!!,"Believe again, Koi ni Naritai AQUARIUM, MY Mai?TONIGHT, WATER BLUE NEW WORLD, WONDERFUL STORIES",You Watanabe (VA Saitou Shuka),Starlight,Karin Asaka (VA Miyu Kubota)
"Susume?Tomorrow, Wonder zone","Love wing bell, Snow halation",Angelic Angel,"Mogyutto ""love"" de Sekkin Chuu!, Paradise Live, Yuujou No Change","Cutie Panther, PSYCHIC FIRE","Binetsu Kara Mystery, Shiranai Love*Oshiete Love",,"Beat in Angel, Soldier game","Daring!!, Koi no Signal Rin rin rin!",Shocking Party,Beat in Angel,,Rin Hoshizora (VA Riho Iida),Mijuku DREAMER,,Hop? Stop? Nonstop!,"""MY LIST"" to you!, Daydream Warrior, Thrilling?One Way",Guilty Eyes Fever,"GALAXY HidE and SeeK, LONELY TUNING",,Yosoku Fukanou Driving!,,DROPOUT!?,Daydream Warrior,,,,
"START:DASH!!, Susume?Tomorrow","Dancing stars on me!, Snow halation","Angelic Angel, Bokutachi wa Hitotsu no Hikari","Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, Mermaid festa vol.1, Paradise Live, Ruteshi Kisuki Shiteru, Shangri-La Shower","Natsu, Owaranai de., PSYCHIC FIRE, Silent tonight","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Otohime Heart de Love Kyuuden","Nightingale Love Song, NO EXIT ORION, UNBALANCED LOVE","Garasu no Hanazono, Storm in Lover, Suki desu ga Suki desu ka?","Arifureta Kanashimi no Hate, Koi no Signal Rin rin rin!, Mou Hitori Ja Nai yo, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",Private Wars,Datte Datte Aa Mujou,Bokutachi wa Hitotsu no Hikari,Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Brightest Melody, Hop? Stop? Nonstop!","HAPPY PARTY TRAIN, Kimi no Hitomi o Meguru Bouken, Seinaru Hi no Inori, SKY JOURNEY, Thank you, FRIENDS!!","Guilty Eyes Fever, Guilty Night, Guilty Kiss!","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Manatsu wa Dare no Mono?, Natsu no Owari no Amaoto ga","Beginner's Sailing, Oyasuminasan!",Believe again,Mijuku DREAMER,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Mijuku DREAMER, MY Mai?TONIGHT, SELF CONTROL!!, WATER BLUE NEW WORLD",Hanamaru Kunikida (Va Takatsuki Kanako),"CHASE!, Evergreen, Starlight",Karin Asaka (VA Miyu Kubota)
